"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Ketel Marte","Diamondbacks","148","589","534","148","30","9","11","72","58","48","84","2","10","3",".277",".337",".429",".766",".329","-0.7","0.4","2.8","224.3","13613"
"Garrett Hampson","Rockies","126","552","494","139","23","8","8","66","48","47","95","2","32","7",".281",".343",".409",".752",".327","4.8","3.2","2.1","193.8","19262"
"Jean Segura","Phillies","147","644","600","174","30","4","14","86","61","31","80","7","22","10",".290",".331",".423",".754",".326","-3.9","-0.1","2.7","63.0","5933"
"Brad Miller","Dodgers","115","416","366","87","20","4","15","44","55","45","112","1","4","2",".238",".320",".437",".757",".325","0.3","-0.2","0.7","999.0","12775"
"Franklin Barreto","Athletics","124","493","449","107","20","3","24","63","65","32","157","8","8","4",".238",".299",".457",".755",".322","2.8","-0.3","2.4","531.8","15519"
"Adalberto Mondesi","Royals","118","473","437","114","22","6","18","62","58","20","118","3","39","7",".261",".295",".462",".758",".321","2.5","4.7","2.9","41.5","13769"
"Chris Taylor","Dodgers","148","581","523","130","30","7","15","76","63","50","154","6","13","7",".249",".320",".419",".739",".321","-2.2","-0.6","2.6","232.5","13757"
"Paul DeJong","Cardinals","132","552","503","124","26","2","22","68","77","36","151","9","2","2",".247",".306",".437",".744",".319","-0.3","-0.7","2.4","185.9","18015"
"Jurickson Profar","Athletics","137","548","485","119","28","4","13","68","56","49","88","10","8","1",".245",".326",".400",".726",".317","-1.9","0.9","2.5","125.9","10815"
"Elvis Andrus","Rangers","132","558","511","139","29","4","10","69","54","37","81","3","13","7",".272",".322",".403",".725",".315","-1.7","-0.6","1.6","179.6","8709"
"Ian Desmond","Rockies","139","563","512","130","21","4","17","73","76","42","137","5","18","5",".254",".315",".410",".725",".314","-5.7","1.2","0.2","143.0","6885"
"Zack Cozart","Angels","90","378","339","84","17","3","11","48","36","31","62","4","2","1",".248",".315",".413",".728",".314","2.6","-0.2","1.7","499.2","2616"
"Daniel Robertson","Rays","101","401","343","81","16","2","8","45","35","43","98","11","2","2",".236",".338",".364",".702",".313","3.8","-0.7","1.8","553.7","14145"
"Marcus Semien","Athletics","152","641","580","145","30","3","18","78","67","54","132","1","13","4",".250",".313",".405",".718",".311","-1.2","0.6","2.7","227.6","12533"
"Jorge Polanco","Twins","118","501","456","120","23","5","10","54","61","35","89","2","10","6",".263",".316",".401",".717",".311","-3.7","-0.7","1.4","225.1","13152"
"Andrelton Simmons","Angels","150","608","561","156","28","3","10","66","66","37","51","4","11","3",".278",".325",".392",".717",".311","17.3","0.6","4.5","236.0","10847"
"Brandon Crawford","Giants","143","566","507","129","29","4","14","59","67","46","115","6","4","4",".254",".320",".410",".730",".310","9.0","-1.1","3.0","490.2","5343"
"Bo Bichette","Blue Jays","131","594","549","138","35","5","14","70","66","38","131","3","20","9",".251",".302",".410",".712",".307","-3.2","0.0","1.8","510.8","sa917949"
"Jose Peraza","Reds","156","642","596","166","24","6","11","72","56","27","78","7","26","8",".279",".315",".394",".710",".306","-1.9","1.6","1.8","96.5","13593"
"Carter Kieboom","Nationals","120","534","482","116","24","1","15","64","56","46","125","4","7","3",".241",".311",".388",".699",".305","0.3","-0.1","1.5","593.1","sa917937"
"Jonathan Villar","Orioles","145","547","494","121","20","2","15","62","50","46","151","3","39","10",".245",".312",".385",".697",".304","-2.0","3.4","1.6","81.0","10071"
"Aledmys Diaz","Astros","127","480","445","113","25","1","14","55","55","26","73","4","4","4",".254",".299",".409",".708",".304","-4.7","-1.1","1.2","498.1","15937"
"Nick Ahmed","Diamondbacks","136","482","443","109","25","5","13","54","55","32","95","2","5","5",".246",".297",".413",".710",".303","10.9","-1.3","2.3","499.5","12147"
"Amed Rosario","Mets","156","622","583","155","26","10","11","77","55","29","117","4","25","10",".266",".303",".401",".705",".302","-1.1","0.6","2.1","143.3","15518"
"Fernando Tatis Jr.","Padres","110","486","438","97","19","4","18","60","57","40","163","5","16","8",".221",".292",".406",".699",".302","-1.1","-0.3","1.4","299.2","sa919910"
"Greg Garcia","Padres","122","298","254","61","11","1","3","28","20","35","58","5","4","2",".240",".342",".327",".669",".301","0.3","-0.2","0.7","999.0","10951"
"Chase d'Arnaud","Athletics","106","377","340","82","15","3","9","44","39","29","90","4","13","4",".241",".306",".382",".688",".299","-1.9","0.8","0.4","999.0","6652"
