"","Name","Team","position","playerid","PA","AB","R","HR","RBI","SB","AVG","marginal.total.points","dollar.value"
"273","Welington Castillo",NA,"catcher","3256",307,282,33,13,40,1,0.238,1.88,5.17
"274","Garrett Hampson","Rockies","outfield","19262",285,258,31,5,30,13,0.271,1.84,5.05
"275","Maikel Franco","Phillies","third_base","12179",334,301,42,17,51,1,0.261,1.83,5.04
"276","Brandon Drury","Blue Jays","outfield","11615",469,425,52,14,54,2,0.242,1.77,4.88
"277","Chance Sisco","Orioles","catcher","15694",326,284,37,11,36,2,0.238,1.76,4.85
"278","Ryan McBroom","Royals","outfield","16524",427,386,47,13,48,2,0.254,1.73,4.77
"279","Reese McGuire","Blue Jays","catcher","15674",326,294,36,9,35,3,0.241,1.73,4.76
"280","Lewis Brinson","Marlins","outfield","14352",553,503,50,15,54,9,0.217,1.72,4.74
"281","Kyle Tucker","Astros","outfield","18345",273,244,38,13,39,9,0.247,1.72,4.73
"282","Jose Peraza","Reds","shortstop","13593",381,352,42,7,37,10,0.272,1.72,4.72
"283","Melky Cabrera",NA,"outfield","4022",350,323,40,9,41,2,0.276,1.67,4.61
"284","Austin Dean","Marlins","outfield","18288",370,338,38,12,44,3,0.263,1.62,4.47
"285","Jose Trevino","Rangers","catcher","16725",352,329,35,7,36,2,0.247,1.6,4.4
"286","Albert Pujols","Angels","dh","1177",350,320,42,15,49,1,0.251,1.47,4.04
"287","Jarrod Dyson",NA,"outfield","4866",364,321,38,6,33,18,0.236,1.46,4.02
"288","Zack Cozart","Angels","shortstop","2616",483,431,59,14,53,3,0.242,1.43,3.93
