"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Manuel Al Flores","","0","0","5.71","0","0","0","1.0","1","1","0","1","0","1.54","4.81","3.25","5.79","0.0","0.0","999.0","sa508195"
"Cesilio Pimentel","Diamondbacks","0","0","5.78","0","0","0","1.0","1","1","0","1","1","1.67","5.77","4.79","5.80","0.0","0.0","999.0","sa603201"
"Cody Forsythe","Phillies","0","0","5.50","0","1","0","1.0","1","1","0","1","1","1.67","7.34","5.70","5.80","0.0","0.0","999.0","sa738372"
"Jason Hoppe","Angels","0","0","5.54","0","1","0","1.0","1","1","0","1","1","1.60","5.90","4.62","5.80","0.0","0.0","999.0","sa829445"
"Greyfer Eregua","Angels","0","0","5.51","0","0","0","1.0","1","1","0","1","0","1.56","5.79","4.27","5.80","0.0","0.0","999.0","sa659746"
"Ian Oxnevad","Cardinals","0","0","5.64","0","0","0","1.0","1","1","0","0","0","1.68","4.45","4.49","5.80","0.0","0.0","999.0","sa875209"
"Federico Castaneda","","0","0","5.68","0","1","0","1.0","1","1","0","1","0","1.65","5.07","4.42","5.80","0.0","0.0","999.0","sa504429"
"Sam McWilliams","Diamondbacks","0","0","5.84","0","0","0","1.0","1","1","0","1","0","1.65","5.03","4.26","5.80","0.0","0.0","999.0","sa829124"
"Sandro Cabrera","Giants","0","0","5.37","0","1","0","1.0","1","1","0","1","1","1.78","6.43","6.80","5.80","0.0","0.0","999.0","sa873292"
"John Means","Orioles","0","0","5.57","0","0","0","1.0","1","1","0","1","0","1.48","5.52","3.10","5.80","0.0","0.0","999.0","sa602859"
"Gavin Wallace","Pirates","0","0","5.94","0","0","0","1.0","1","1","0","0","1","1.73","4.31","4.55","5.80","0.0","0.0","999.0","sa3004102"
"Luke Barker","Brewers","0","0","5.76","0","1","0","1.0","1","1","0","1","1","1.68","6.50","5.18","5.80","0.0","0.0","999.0","sa977837"
"Fabio Castro","","0","0","5.65","0","0","0","1.0","1","1","0","1","0","1.65","4.87","4.40","5.80","0.0","0.0","999.0","4048"
"Kelvin Rivas","Marlins","0","0","5.66","0","1","0","1.0","1","1","0","1","1","1.73","6.28","5.95","5.80","0.0","0.0","999.0","sa875249"
"Curtis Taylor","Diamondbacks","0","0","5.84","0","0","0","1.0","1","1","0","1","1","1.68","6.38","5.22","5.80","0.0","0.0","999.0","sa917970"
"Yorman Landa","Twins","0","0","5.65","0","1","0","1.0","1","1","0","1","1","1.75","6.50","6.06","5.80","0.0","0.0","999.0","sa597276"
"Jesus Anguamea","","0","0","5.62","0","1","0","1.0","1","1","0","1","1","1.76","6.23","6.15","5.80","0.0","0.0","999.0","sa737569"
"Kevin Guzman","Marlins","0","0","5.73","0","0","0","1.0","1","1","0","1","1","1.67","5.54","4.96","5.80","0.0","0.0","999.0","sa739328"
"Ruddy Acosta","","0","0","5.73","0","0","0","1.0","1","1","0","0","0","1.62","4.23","3.74","5.80","0.0","0.0","999.0","sa824737"
"Rafael Cordova","","0","0","5.68","0","1","0","1.0","1","1","0","1","1","1.67","6.37","5.30","5.80","0.0","0.0","999.0","sa508072"
"Nick Green","Yankees","0","0","5.65","0","0","0","1.0","1","1","0","1","1","1.71","4.94","4.94","5.80","0.0","0.0","999.0","sa738690"
"Ramon Ramirez","","0","0","5.73","0","0","0","1.0","1","1","0","1","1","1.68","5.41","4.86","5.80","0.0","0.0","999.0","2899"
"Brendan Butler","Athletics","0","0","5.80","0","0","0","1.0","1","1","0","1","1","1.66","5.35","4.73","5.80","0.0","0.0","999.0","sa876039"
"David Reyes","","0","0","5.76","0","0","0","1.0","1","1","0","0","0","1.60","4.17","3.47","5.81","0.0","0.0","999.0","sa592948"
"Esteban Haro","","0","0","5.67","0","1","0","1.0","1","1","0","1","1","1.69","5.49","5.02","5.81","0.0","0.0","999.0","sa509455"
"Matt Custred","Braves","0","0","5.66","0","1","0","1.0","1","1","0","1","1","1.79","7.57","6.94","5.81","0.0","0.0","999.0","sa876065"
"Eduardo Jimenez","Tigers","0","0","5.72","0","1","0","1.0","1","1","0","1","1","1.69","6.53","5.45","5.81","0.0","0.0","999.0","sa655954"
"Wennington Romero","Reds","0","0","5.61","0","0","0","1.0","1","1","0","1","0","1.59","5.79","4.29","5.81","0.0","0.0","999.0","sa873220"
"Javier Garcia","Marlins","0","0","5.64","0","1","0","1.0","1","1","0","1","1","1.76","6.09","6.11","5.81","0.0","0.0","999.0","sa872843"
"Zach Jackson","Blue Jays","0","0","5.62","0","1","0","1.0","1","1","0","1","1","1.73","7.51","6.47","5.81","0.0","0.0","999.0","sa874174"
"Brock Dykxhoorn","Astros","0","0","5.69","0","0","0","1.0","1","1","0","1","0","1.51","6.18","3.62","5.81","0.0","0.0","999.0","sa658513"
"Jared Ruxer","Royals","0","0","5.80","0","0","0","1.0","1","1","0","1","0","1.56","5.25","3.69","5.81","0.0","0.0","999.0","sa602422"
"Ryan Eades","Twins","0","0","5.75","0","0","0","1.0","1","1","0","1","0","1.56","6.14","4.07","5.81","0.0","0.0","999.0","sa549448"
"Michael Theofanopoulos","Twins","0","0","5.52","0","1","0","1.0","1","1","0","1","1","1.69","7.05","5.87","5.81","0.0","0.0","999.0","sa709017"
"Victor Garate","","0","0","5.69","0","0","0","1.0","1","1","0","1","0","1.62","5.38","4.33","5.81","0.0","0.0","999.0","4036"
"Ozzie Mendez","","0","0","5.49","0","1","0","1.0","1","1","0","1","1","1.73","5.12","5.42","5.81","0.0","0.0","999.0","sa509713"
"Joey Strain","Mariners","0","0","5.68","0","1","0","1.0","1","1","0","1","0","1.56","5.06","3.54","5.81","0.0","0.0","999.0","sa856185"
"James Bourque","Nationals","0","0","5.73","0","0","0","1.0","1","1","0","1","1","1.69","5.06","4.85","5.81","0.0","0.0","999.0","sa829330"
"Phil Bickford","Brewers","0","0","5.82","0","0","0","1.0","1","1","0","1","1","1.63","7.07","4.90","5.81","0.0","0.0","999.0","sa737441"
"Dillon McNamara","Yankees","0","0","5.60","0","1","0","1.0","1","1","0","1","0","1.59","6.13","4.41","5.81","0.0","0.0","999.0","sa738389"
"Gaudencio Aguirre","","0","0","5.72","0","1","0","1.0","1","1","0","1","1","1.66","5.61","4.77","5.82","0.0","0.0","999.0","sa185590"
"Cody Buckel","Angels","0","0","5.42","0","1","0","1.0","1","1","0","1","1","1.69","6.98","6.15","5.82","0.0","0.0","999.0","sa548270"
"Nick Sawyer","Rays","0","0","5.56","0","1","0","1.0","1","1","0","1","1","1.72","6.98","6.21","5.82","0.0","0.0","999.0","sa550042"
"Marco Camarena","","0","0","5.74","0","0","0","1.0","1","1","0","0","0","1.71","4.04","4.50","5.82","0.0","0.0","999.0","sa506924"
"Justin Lawrence","Rockies","0","0","5.81","0","1","0","1.0","1","1","0","1","1","1.84","6.00","6.40","5.82","0.0","0.0","999.0","sa875567"
"Tyler Jackson","Mariners","0","0","5.78","0","0","0","1.0","1","1","0","1","0","1.58","5.62","3.92","5.82","0.0","0.0","999.0","sa3004743"
"Nick Valenza","Mariners","0","0","5.50","0","1","0","1.0","1","1","0","1","1","1.74","6.03","5.86","5.82","0.0","0.0","999.0","sa598922"
"Logan Crouse","Dodgers","0","0","5.55","0","1","0","1.0","1","1","0","1","1","1.72","5.74","5.66","5.82","0.0","0.0","999.0","sa876044"
"Alec Asher","Orioles","5","8","5.82","19","19","0","108.0","124","70","23","71","38","1.51","5.90","3.18","5.82","0.0","-0.2","999.0","13560"
"Toller Boardman","Tigers","0","0","5.63","0","1","0","1.0","1","1","0","1","1","1.68","5.12","4.81","5.82","0.0","0.0","999.0","sa875348"
"David Oca","Cardinals","0","0","5.64","0","0","0","1.0","1","1","0","1","1","1.77","4.92","5.59","5.82","0.0","0.0","999.0","sa737045"
"Edgar Garcia","Phillies","0","0","5.73","0","0","0","1.0","1","1","0","1","1","1.60","6.66","4.61","5.83","0.0","0.0","999.0","sa830494"
"Sebastian Kessay","Astros","0","0","5.47","0","1","0","1.0","1","1","0","1","1","1.71","7.26","6.28","5.83","0.0","0.0","999.0","sa738247"
"Cam Vieaux","Pirates","0","0","5.81","0","0","0","1.0","1","1","0","1","0","1.65","4.53","4.13","5.83","0.0","0.0","999.0","sa873657"
"Jason Foley","Tigers","0","0","5.73","0","1","0","1.0","1","1","0","1","1","1.72","6.27","5.61","5.83","0.0","0.0","999.0","sa915677"
"Matt Frawley","Yankees","0","0","5.62","0","1","0","1.0","1","1","0","1","1","1.62","6.57","4.84","5.83","0.0","0.0","999.0","sa918386"
"Eric Dorsch","Pirates","0","0","5.80","0","1","0","1.0","1","1","0","1","1","1.83","5.61","6.25","5.83","0.0","0.0","999.0","sa738722"
"Dereck Rodriguez","Twins","0","0","5.75","0","0","0","1.0","1","1","0","1","0","1.52","5.74","3.56","5.83","0.0","0.0","999.0","sa597982"
"Jaret Hellinger","Braves","0","0","5.68","0","0","0","1.0","1","1","0","1","1","1.76","5.38","5.64","5.83","0.0","0.0","999.0","sa875255"
"Armando Galarraga","","0","0","5.86","0","0","0","1.0","1","1","0","1","0","1.61","4.83","3.75","5.83","0.0","0.0","999.0","4222"
"Jesse Adams","Reds","0","0","5.52","0","1","0","1.0","1","1","0","1","1","1.67","7.28","5.75","5.83","0.0","0.0","999.0","sa857654"
"Tom Jameson","Diamondbacks","0","0","5.85","0","1","0","1.0","1","1","0","1","1","1.71","6.61","5.59","5.83","0.0","0.0","999.0","sa739877"
"Paul Oseguera","","0","0","5.65","0","0","0","1.0","1","1","0","1","1","1.65","5.09","4.55","5.83","0.0","0.0","999.0","sa327755"
"Todd Eaton","Royals","0","0","5.74","0","1","0","1.0","1","1","0","1","0","1.62","5.08","4.31","5.83","0.0","0.0","999.0","sa829711"
"Jeff Soptic","Giants","0","0","5.52","0","1","0","1.0","1","1","0","1","1","1.81","6.34","6.98","5.83","0.0","0.0","999.0","sa503518"
"Brennan Smith","Tigers","0","0","5.86","0","0","0","1.0","1","1","0","1","0","1.55","5.72","3.64","5.83","0.0","0.0","999.0","sa549585"
"Austin Orewiler","Reds","0","0","5.64","0","1","0","1.0","1","1","0","1","1","1.68","6.10","5.24","5.83","0.0","0.0","999.0","sa875673"
"Michael Mertz","Marlins","0","0","5.55","0","1","0","1.0","1","1","0","1","1","1.76","6.40","6.46","5.84","0.0","0.0","999.0","sa918296"
"Alejandro Requena","Phillies","0","0","5.75","0","0","0","1.0","1","1","0","1","0","1.60","5.68","4.16","5.84","0.0","0.0","999.0","sa828724"
"Adam Oller","Pirates","0","0","5.90","0","1","0","1.0","1","1","0","1","1","1.78","5.63","5.69","5.84","0.0","0.0","999.0","sa913099"
"Kyle McKenzie","Rays","0","0","5.62","0","1","0","1.0","1","1","0","1","1","1.68","5.63","5.16","5.84","0.0","0.0","999.0","sa502698"
"Marco Antonio Duarte","","0","0","5.79","0","0","0","1.0","1","1","0","1","0","1.67","4.89","4.49","5.84","0.0","0.0","999.0","sa393279"
"Steven Bruce","Rangers","0","0","5.90","0","0","0","1.0","1","1","0","1","0","1.65","5.20","4.20","5.84","0.0","0.0","999.0","sa919819"
"Matthew Crownover","Nationals","0","0","5.60","0","0","0","1.0","1","1","0","1","0","1.55","5.87","4.01","5.84","0.0","0.0","999.0","sa829277"
"Chaz Hebert","Yankees","0","0","5.55","0","0","0","1.0","1","1","0","1","0","1.48","6.48","3.53","5.84","0.0","0.0","999.0","sa599381"
"Roberto Padilla","","0","0","5.69","0","0","0","1.0","1","1","0","1","1","1.70","5.05","4.94","5.84","0.0","0.0","999.0","sa549660"
"Wyatt Short","Cubs","0","0","5.46","0","1","0","1.0","1","1","0","1","1","1.78","6.33","6.56","5.84","0.0","0.0","999.0","sa874187"
"Michael Peoples","Indians","0","0","5.81","0","0","0","1.0","1","1","0","1","0","1.61","4.55","3.81","5.84","0.0","0.0","999.0","sa658314"
"Reece Karalus","Rays","0","0","5.61","0","1","0","1.0","1","1","0","1","1","1.67","5.93","5.20","5.84","0.0","0.0","999.0","sa873637"
"Reiver Sanmartin","Rangers","0","0","5.83","0","0","0","1.0","1","1","0","1","1","1.70","4.61","4.52","5.84","0.0","0.0","999.0","sa880982"
"Rafael Diaz","","0","0","5.76","0","0","0","1.0","1","1","0","1","0","1.57","5.24","3.71","5.84","0.0","0.0","999.0","sa509282"
"Josh Roeder","Yankees","0","0","5.63","0","1","0","1.0","1","1","0","1","1","1.63","6.19","4.76","5.84","0.0","0.0","999.0","sa875299"
"Jeffrey Shields","","0","0","5.83","0","0","0","1.0","1","1","0","0","0","1.70","4.41","4.46","5.84","0.0","0.0","999.0","sa548358"
"Juliandry Higuera","Blue Jays","0","0","5.61","0","1","0","1.0","1","1","0","1","1","1.71","5.89","5.53","5.85","0.0","0.0","999.0","sa737329"
"Justin Maese","Blue Jays","0","0","5.83","0","0","0","1.0","1","1","0","1","1","1.68","4.75","4.62","5.85","0.0","0.0","999.0","sa875002"
"Kevin Perez","Nationals","0","0","5.70","0","1","0","1.0","1","1","0","1","1","1.76","6.92","6.33","5.85","0.0","0.0","999.0","sa738154"
"Alex White","Astros","0","0","5.87","0","0","0","1.0","1","1","0","1","0","1.58","5.90","3.99","5.85","0.0","0.0","999.0","10054"
"Troy Conyers","Braves","0","0","5.60","0","1","0","1.0","1","1","0","1","1","1.78","6.46","6.41","5.85","0.0","0.0","999.0","sa3004314"
"Marcos Rivas","","0","0","5.69","0","1","0","1.0","1","1","0","1","1","1.66","5.15","4.69","5.85","0.0","0.0","999.0","sa3001058"
"Jordan Piche","Angels","0","0","5.56","0","1","0","1.0","1","1","0","1","1","1.62","5.81","4.80","5.85","0.0","0.0","999.0","sa829571"
"Boomer Biegalski","Athletics","0","0","5.81","0","0","0","1.0","1","1","0","1","0","1.60","5.72","4.32","5.85","0.0","0.0","999.0","sa873983"
"Matthew DeRosier","Nationals","0","0","5.74","0","0","0","1.0","1","1","0","1","0","1.61","5.53","4.27","5.85","0.0","0.0","999.0","sa738347"
"Kohl Stewart","Twins","0","0","5.81","0","0","0","1.0","1","1","0","1","1","1.69","5.24","4.89","5.85","0.0","0.0","999.0","sa737436"
"Sean Guenther","Marlins","0","0","5.68","0","0","0","1.0","1","1","0","1","1","1.72","4.89","5.22","5.85","0.0","0.0","999.0","sa915817"
"Matt Anderson","Pirates","0","0","5.91","0","0","0","1.0","1","1","0","1","1","1.75","6.45","5.85","5.85","0.0","0.0","999.0","sa918200"
"Hector Villalobos","","0","0","5.53","0","1","0","1.0","1","1","0","1","1","1.74","6.38","6.06","5.85","0.0","0.0","999.0","sa3002572"
"Francys Peguero","Nationals","0","0","5.75","0","1","0","1.0","1","1","0","1","1","1.75","5.75","5.71","5.85","0.0","0.0","999.0","sa748442"
"Parker Bugg","Marlins","0","0","5.65","0","1","0","1.0","1","1","0","1","1","1.72","6.28","5.92","5.85","0.0","0.0","999.0","sa738946"
"Wes Benjamin","Rangers","0","0","5.80","0","0","0","1.0","1","1","0","1","0","1.63","5.39","4.26","5.85","0.0","0.0","999.0","sa602914"
"Tyler Peitzmeier","Cubs","0","0","5.52","0","1","0","1.0","1","1","0","1","1","1.76","6.08","6.22","5.85","0.0","0.0","999.0","sa875221"
"Dixon Llorens","Angels","0","0","5.49","0","1","0","1.0","1","1","0","1","1","1.69","6.44","5.85","5.85","0.0","0.0","999.0","sa658625"
"Cody Nesbit","Royals","0","0","5.73","0","1","0","1.0","1","1","0","1","1","1.76","6.24","6.14","5.85","0.0","0.0","999.0","sa918514"
"Juan Ramon Noriega","","0","0","5.68","0","1","0","1.0","1","1","0","1","1","1.68","6.05","5.24","5.85","0.0","0.0","999.0","sa543294"
"Nolan Becker","Reds","0","0","5.55","0","1","0","1.0","1","1","0","1","1","1.70","6.64","5.81","5.85","0.0","0.0","999.0","sa658169"
"Reid Love","Orioles","0","0","5.79","0","0","0","1.0","1","1","0","1","0","1.65","4.54","3.92","5.85","0.0","0.0","999.0","sa875280"
"Austin Robichaux","Angels","0","0","5.58","0","0","0","1.0","1","1","0","1","1","1.67","4.98","4.93","5.86","0.0","0.0","999.0","sa602629"
"Danny Gutierrez","","0","0","5.74","0","0","0","1.0","1","1","0","1","0","1.62","4.67","4.03","5.86","0.0","0.0","999.0","sa326150"
"Bret Helton","Pirates","0","0","5.94","0","0","0","1.0","1","1","0","1","1","1.69","5.31","4.70","5.86","0.0","0.0","999.0","sa875307"
"Jordan DeLorenzo","Cardinals","0","0","5.61","0","1","0","1.0","1","1","0","1","1","1.77","6.23","6.20","5.86","0.0","0.0","999.0","sa827452"
"Bernardo Flores","White Sox","0","0","5.61","0","0","0","1.0","1","1","0","1","0","1.63","5.26","4.42","5.86","0.0","0.0","999.0","sa874080"
"Jose Hernandez","Astros","0","0","5.84","0","0","0","1.0","1","1","0","1","0","1.54","6.08","3.74","5.86","0.0","0.0","999.0","sa879512"
"Alex Gunn","Diamondbacks","0","0","5.80","0","0","0","1.0","1","1","0","1","1","1.69","5.29","4.80","5.86","0.0","0.0","999.0","sa922402"
"Jhonathan Diaz","Red Sox","0","0","5.73","0","0","0","1.0","1","1","0","1","1","1.72","4.94","5.14","5.86","0.0","0.0","999.0","sa828483"
"Adonis Medina","Phillies","0","0","5.74","0","0","0","1.0","1","1","0","1","1","1.67","6.18","5.14","5.86","0.0","0.0","999.0","sa832877"
"Blake Bivens","Rays","0","0","5.72","0","0","0","1.0","1","1","0","1","1","1.63","5.62","4.63","5.86","0.0","0.0","999.0","sa828880"
"Travis Ott","Rays","0","0","5.54","0","0","0","1.0","1","1","0","1","1","1.65","6.71","5.52","5.86","0.0","0.0","999.0","sa738460"
"Ismael Cabrera","Phillies","0","0","5.67","0","1","0","1.0","1","1","0","1","1","1.68","7.07","5.62","5.86","0.0","0.0","999.0","sa828835"
"Taylor Cox","Padres","0","0","5.51","0","1","0","1.0","1","1","0","1","1","1.83","6.07","6.77","5.86","0.0","0.0","999.0","sa829210"
"Hubbie Pellegaud","","0","0","5.74","0","1","0","1.0","1","1","0","1","0","1.63","5.19","4.30","5.86","0.0","0.0","999.0","sa602536"
"Cesar Carrillo","","0","0","5.75","0","0","0","1.0","1","1","0","1","1","1.71","4.61","4.83","5.86","0.0","0.0","999.0","4697"
"Daniel Cordero","Braves","0","0","5.91","0","0","0","1.0","1","1","0","1","1","1.72","5.65","5.18","5.86","0.0","0.0","999.0","sa657244"
"Max Bethell","Angels","0","0","5.43","0","1","0","1.0","1","1","0","1","1","1.68","5.67","5.38","5.86","0.0","0.0","999.0","sa920563"
"Ignacio Montano","","0","0","5.69","0","0","0","1.0","1","1","0","1","0","1.63","4.85","4.19","5.86","0.0","0.0","999.0","sa200106"
"Carlos Acevedo","Nationals","0","0","5.82","0","0","0","1.0","1","1","0","1","1","1.70","4.68","4.63","5.87","0.0","0.0","999.0","sa828812"
"Spencer Herrmann","Mariners","0","0","5.61","0","0","0","1.0","1","1","0","1","1","1.63","6.25","4.99","5.87","0.0","0.0","999.0","sa829717"
"Thomas Melgarejo","","0","0","5.62","0","1","0","1.0","1","1","0","1","1","1.71","5.33","5.27","5.87","0.0","0.0","999.0","sa328570"
"Drake Owenby","Brewers","0","0","5.75","0","0","0","1.0","1","1","0","1","1","1.68","6.38","5.18","5.87","0.0","0.0","999.0","sa857564"
"Ivan Salas","","0","0","5.51","0","1","0","1.0","1","1","0","1","1","1.78","5.58","6.13","5.87","0.0","0.0","999.0","sa509785"
"Kenneth Sigman","","0","0","5.84","0","0","0","1.0","1","1","0","1","1","1.69","4.78","4.66","5.87","0.0","0.0","999.0","sa550328"
"Hunter Adkins","Rays","0","0","5.70","0","1","0","1.0","1","1","0","1","0","1.59","6.00","4.50","5.87","0.0","0.0","999.0","sa658401"
"Jose Diaz","Marlins","0","0","5.87","0","0","0","1.0","1","1","0","1","1","1.69","4.95","4.79","5.87","0.0","0.0","999.0","sa657137"
"Brennan Henry","Royals","0","0","5.57","0","1","0","1.0","1","1","0","1","1","1.77","5.41","6.01","5.87","0.0","0.0","999.0","sa658630"
"Alejandro Felix","","0","0","5.72","0","1","0","1.0","1","1","0","1","1","1.72","6.06","5.60","5.87","0.0","0.0","999.0","sa877309"
"Kit Scheetz","Astros","0","0","5.75","0","0","0","1.0","1","1","0","1","1","1.69","5.53","5.00","5.87","0.0","0.0","999.0","sa873684"
"Mario Mendoza","","0","0","5.76","0","1","0","1.0","1","1","0","1","1","1.71","4.88","4.94","5.87","0.0","0.0","999.0","sa198436"
"Scott Moss","Reds","0","0","5.59","0","0","0","1.0","1","1","0","1","1","1.67","6.69","5.52","5.87","0.0","0.0","999.0","sa738902"
"Joe Serrapica","Rays","0","0","5.60","0","1","0","1.0","1","1","0","1","1","1.70","6.39","5.77","5.87","0.0","0.0","999.0","sa918536"
"Cody Geyer","Diamondbacks","0","0","5.81","0","1","0","1.0","1","1","0","1","1","1.80","6.62","6.47","5.87","0.0","0.0","999.0","sa599107"
"Jasiel Acosta","","0","0","5.68","0","1","0","1.0","1","1","0","1","1","1.69","5.65","5.06","5.87","0.0","0.0","999.0","sa202428"
"Heath Holder","Rockies","0","0","5.93","0","1","0","1.0","1","1","0","1","1","1.76","6.60","5.82","5.87","0.0","0.0","999.0","sa602623"
"Shane Watson","Phillies","0","0","5.76","0","0","0","1.0","1","1","0","1","1","1.62","6.18","4.55","5.87","0.0","0.0","999.0","sa657857"
"Francisco Rivera","","0","0","5.84","0","1","0","1.0","1","1","0","1","0","1.62","5.24","4.08","5.87","0.0","0.0","999.0","sa185704"
"Juan Pablo Oramas","","0","0","5.65","0","0","0","1.0","1","1","0","1","1","1.69","5.45","5.10","5.88","0.0","0.0","999.0","sa508100"
"Andrew Cooper","Nationals","0","0","5.72","0","1","0","1.0","1","1","0","1","1","1.78","5.24","5.76","5.88","0.0","0.0","999.0","sa738579"
"Ryan Schlosser","Braves","0","0","5.81","0","1","0","1.0","1","1","0","1","1","1.80","5.40","5.90","5.88","0.0","0.0","999.0","sa918749"
"Kenny Oakley","Rockies","0","0","5.96","0","1","0","1.0","1","1","0","1","1","1.75","6.63","5.69","5.88","0.0","0.0","999.0","sa856279"
"Euclides Leyer","White Sox","0","0","5.62","0","1","0","1.0","1","1","0","1","1","1.71","7.52","6.24","5.88","0.0","0.0","999.0","sa551004"
"Cameron Griffin","Mets","0","0","5.71","0","1","0","1.0","1","1","0","1","1","1.68","6.55","5.53","5.88","0.0","0.0","999.0","sa738927"
"Kyle Lohse","Rangers","0","0","6.00","0","0","0","1.0","1","1","0","1","0","1.54","5.31","3.02","5.88","0.0","0.0","999.0","739"
"Alan Rangel","Braves","0","0","5.97","0","0","0","1.0","1","1","0","1","0","1.67","5.12","4.36","5.88","0.0","0.0","999.0","sa877578"
"Brandon Quintero","White Sox","0","0","5.76","0","1","0","1.0","1","1","0","1","1","1.73","5.78","5.44","5.88","0.0","0.0","999.0","sa875655"
"Esmelvin Jimenez","","0","0","5.67","0","1","0","1.0","1","1","0","1","1","1.74","5.34","5.44","5.88","0.0","0.0","999.0","sa456134"
"Jerad McCrummen","Rockies","0","0","5.93","0","1","0","1.0","1","1","0","1","1","1.84","5.65","6.11","5.88","0.0","0.0","999.0","sa738253"
"Gabriel Castellanos","Marlins","0","0","5.61","0","0","0","1.0","1","1","0","1","1","1.78","5.59","6.17","5.88","0.0","0.0","999.0","sa597044"
"Tanner Griggs","Cubs","0","0","5.65","0","1","0","1.0","1","1","0","1","1","1.78","6.32","6.39","5.88","0.0","0.0","999.0","sa829033"
"Elvis Diaz","Cubs","0","0","5.66","0","1","0","1.0","1","1","0","1","1","1.73","6.29","5.95","5.88","0.0","0.0","999.0","sa657780"
"Chase Ingram","Mets","0","0","5.76","0","0","0","1.0","1","1","0","1","1","1.76","6.08","5.98","5.88","0.0","0.0","999.0","sa875160"
"Marc Magliaro","Rockies","0","0","5.98","0","1","0","1.0","1","1","0","1","1","1.68","5.84","4.71","5.88","0.0","0.0","999.0","sa739267"
"Clint Terry","Brewers","0","0","5.76","0","1","0","1.0","1","1","0","1","1","1.66","5.84","4.76","5.88","0.0","0.0","999.0","sa659044"
"Pedro Payano","Rangers","0","0","5.82","0","0","0","1.0","1","1","0","1","1","1.65","6.51","5.07","5.89","0.0","0.0","999.0","sa658997"
"Carlos Vazquez","","0","0","5.59","0","1","0","1.0","1","1","0","1","1","1.75","6.41","6.16","5.89","0.0","0.0","999.0","sa506933"
"Joe Harvey","Yankees","0","0","5.67","0","1","0","1.0","1","1","0","1","1","1.68","6.80","5.46","5.89","0.0","0.0","999.0","sa827455"
"Ramon Delgado","","0","0","5.82","0","1","0","1.0","1","1","0","1","0","1.58","4.69","3.54","5.89","0.0","0.0","999.0","sa390604"
"Javier Assad","Cubs","0","0","5.75","0","0","0","1.0","1","1","0","1","1","1.74","5.71","5.70","5.89","0.0","0.0","999.0","sa920249"
"Willian Soto","Dodgers","0","0","5.72","0","0","0","1.0","1","1","0","1","1","1.67","5.40","4.90","5.89","0.0","0.0","999.0","sa739645"
"Angel Adrian Ramirez","","0","0","5.66","0","1","0","1.0","1","1","0","1","1","1.67","5.80","5.08","5.89","0.0","0.0","999.0","sa502235"
"Gabriel Valdez","Astros","0","0","5.88","0","0","0","1.0","1","1","0","1","0","1.60","5.50","4.04","5.89","0.0","0.0","999.0","sa828365"
"Ulises Lopez","","0","0","5.74","0","1","0","1.0","1","1","0","1","1","1.77","5.76","5.88","5.89","0.0","0.0","999.0","sa897261"
"Kenny Rosenberg","Rays","0","0","5.62","0","0","0","1.0","1","1","0","1","1","1.67","6.07","5.36","5.89","0.0","0.0","999.0","sa918105"
"LJ Brewster","Marlins","0","0","5.71","0","0","0","1.0","1","1","0","0","1","1.79","4.38","5.69","5.89","0.0","0.0","999.0","sa875329"
"Imani Abdullah","Dodgers","0","0","5.74","0","0","0","1.0","1","1","0","1","0","1.61","5.46","4.31","5.89","0.0","0.0","999.0","sa875588"
"Lucas Benenati","Reds","0","0","5.73","0","1","0","1.0","1","1","0","1","1","1.71","6.24","5.53","5.89","0.0","0.0","999.0","sa918183"
"Juan Antonio Pena","","0","0","5.74","0","0","0","1.0","1","1","0","1","0","1.66","4.87","4.49","5.89","0.0","0.0","999.0","sa208507"
"Garrett Mundell","Yankees","0","0","5.62","0","1","0","1.0","1","1","0","1","1","1.70","7.11","5.87","5.89","0.0","0.0","999.0","sa829279"
"Fernando Perez-Abreu","","0","0","5.81","0","1","0","1.0","1","1","0","1","1","1.71","5.12","5.00","5.90","0.0","0.0","999.0","sa508708"
"David Napoli","Nationals","0","0","5.59","0","1","0","1.0","1","1","0","1","1","1.80","6.89","6.77","5.90","0.0","0.0","999.0","sa737917"
"Francisco Gil","","0","0","5.80","0","1","0","1.0","1","1","0","1","1","1.70","5.50","5.10","5.90","0.0","0.0","999.0","sa393318"
"Jake Woodford","Cardinals","0","0","5.88","0","0","0","1.0","1","1","0","1","1","1.69","4.79","4.61","5.90","0.0","0.0","999.0","sa874753"
"Koby Gauna","Athletics","0","0","5.85","0","1","0","1.0","1","1","0","1","1","1.73","4.66","5.02","5.90","0.0","0.0","999.0","sa829284"
"Robby Sexton","Red Sox","0","0","5.77","0","0","0","1.0","1","1","0","1","1","1.68","5.32","4.96","5.90","0.0","0.0","999.0","sa918300"
"Joaquin Lara","","0","0","5.77","0","1","0","1.0","1","1","0","1","1","1.73","6.22","5.69","5.90","0.0","0.0","999.0","sa871171"
"David Trexler","Angels","0","0","5.54","0","1","0","1.0","1","1","0","1","1","1.72","6.38","6.09","5.90","0.0","0.0","999.0","sa829196"
"Markus Solbach","Diamondbacks","0","0","6.00","0","0","0","1.0","1","1","0","1","0","1.60","5.22","3.76","5.90","0.0","0.0","999.0","sa599472"
