"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Griff Erickson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".289",".359",".648",".282","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","sa327827"
"Drew Butera","Royals","18","70","64","15","3","0","2","7","7","5","17","1","1","0","",".231",".289",".360",".649",".282","","71","-0.1","-0.1","","-2.7","1.4","0.1","","687.7","3411"
"Ryan Lavarnway","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".304",".333",".637",".282","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","8879"
"Alex Burg","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".296",".344",".640",".281","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa502124"
"Max Stassi","Astros","17","64","57","12","2","0","2","7","7","5","19","1","1","0","",".212",".283",".364",".647",".281","","75","0.0","0.0","","-2.0","1.4","0.2","","682.0","10059"
"Reese McGuire","Blue Jays","3","12","11","3","1","0","0","1","1","1","2","0","0","0","",".237",".297",".347",".644",".281","","70","0.0","0.0","","-0.4","0.3","0.0","","999.0","sa737505"
"Joe Jackson","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".297",".346",".643",".281","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa550375"
"Matt McBride","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".279",".372",".652",".281","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","9373"
"Sean Murphy","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".286",".362",".648",".281","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","sa873680"
"Raywilly Gomez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".305",".330",".635",".281","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa503268"
